Title,Section,Template,Type,Priority,Assigned To,Estimate,AI Automated Test,Automation Type,Is Automated,Automation Candidate,Add Labels,?References,Preconditions,BDD Scenarios
"shouldThrowException_whenTableNotFound","Pedidos / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","Yes","No","","","Mockito: tableRepository.findById(tableId) -> Optional.empty.","Given: Mockito: tableRepository.findById(tableId) -> Optional.empty(); When: Invocar takeOrderUseCase.takeOrder(request) con tableId inexistente.; Then: Lanza IllegalArgumentException con mensaje claro sobre mesa inexistente."
"shouldThrowException_whenTableIsNotAvailable","Pedidos / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","Yes","No","","","Mockito: tableRepository.findById(tableId) -> Optional.of(table(status=OCCUPIED))","Given: Mockito: tableRepository.findById(tableId) -> Optional.of(table(status=OCCUPIED)); When: Invocar takeOrderUseCase.takeOrder(request) para mesa ocupada.; Then: Lanza IllegalStateException indicando que la mesa no está disponible."
"shouldThrowAndReleaseTable_whenProductNotFound","Pedidos / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","3min","None","","Yes","No","","","Mockito: productRepository.findById(productId) -> Optional.empty; table initially AVAILABLE and will be set to OCCUPIED during flow","Given: Mockito: productRepository.findById(productId) -> Optional.empty(); table initially AVAILABLE and will be set to OCCUPIED during flow; When: Invocar takeOrderUseCase.takeOrder(request) con producto inexistente.; Then: Lanza excepción (ej. IllegalArgumentException o ProductNotFoundException) y la mesa previamente ocupada vuelve a estado AVAILABLE."
"shouldTakeOrderSuccessfully_whenAllOptionsAreValidForProduct","Pedidos / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","3min","None","","Yes","No","","","Mockito: productRepository.findById -> product with valid options; inventoryStockUseCase.isAvailable -> true","Given: productRepository devuelve producto con opciones válidas y inventoryStockUseCase.isAvailable -> true; When: Invocar takeOrderUseCase.takeOrder(request) con producto y varias opciones válidas.; Then: Orden creada y orderRepository.save(...) invocado con Order y detalles correctos."
"shouldTakeOrderSuccessfully_whenProductHasOptionsAndOptionsProvided","Pedidos / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","3min","None","","Yes","No","","","Mockito: product and options exist; inventoryStockUseCase.isAvailable -> true","Given: producto y opciones existen; inventoryStockUseCase.isAvailable -> true; When: Invocar takeOrderUseCase.takeOrder(request) con producto que soporta opciones y opciones en request.; Then: Orden creada con las opciones asociadas y persistida."
"shouldThrowAndReleaseTable_whenInsufficientStock","Pedidos / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","Mockito: inventoryStockUseCase.isAvailable(...) -> false; table transitions to OCCUPIED during flow","Given: inventoryStockUseCase.isAvailable(...) -> false; table transitions to OCCUPIED during flow; When: Invocar takeOrderUseCase.takeOrder(request) cuando no hay stock suficiente.; Then: Lanza InsufficientStockException y la mesa vuelve a estado AVAILABLE."
"shouldOccupyTable_whenOrderIsCreated","Pedidos / Unitarias","Behaviour Driven Development (BDD)","Functional","Medium","","1min","None","","No","Yes","","","Mockito: table initial AVAILABLE; inventoryStockUseCase.isAvailable -> true","Given: mesa inicial AVAILABLE y inventoryStockUseCase.isAvailable -> true; When: Ejecutar takeOrderUseCase.takeOrder(request).; Then: Antes de guardar la orden se marca la mesa como OCCUPIED y se persiste ese cambio."
"shouldDeductInventory_whenOrderIsCreated","Pedidos / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","1min","None","","No","Yes","","","Mockito: inventoryMovementUseCase available; inventoryStockUseCase.isAvailable -> true","Given: inventoryMovementUseCase disponible e inventoryStockUseCase.isAvailable -> true; When: Crear orden válida.; Then: Se invoca inventoryMovementUseCase.deductForOrder(...) con los parámetros esperados."
"shouldCreateSupply_whenCategoryExists","Inventario / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","3min","None","","No","Yes","","","Mockito: supplyCategoryRepository.findById(categoryId) -> Optional.of(category); supplyRepository.existsByName(name) -> false","Given: supplyCategoryRepository.findById(categoryId) -> Optional.of(category) y supplyRepository.existsByName(name) -> false; When: Invocar el endpoint o método de creación con nombre y categoría existentes.; Then: Supply creado y persistido; response 201 en controller tests."
"shouldThrowException_whenSupplyNameIsDuplicated","Inventario / Unitarias","Behaviour Driven Development (BDD)","Functional","High","","2min","None","","No","Yes","","","Mockito: supplyRepository.existsByName(name) -> true","Given: supplyRepository.existsByName(name) -> true; When: Intentar crear supply con nombre duplicado.; Then: Lanza SupplyAlreadyExistsException o retorno 409 desde controller."
